sentiment,score,text
pos,0.99965024,Phenomenal video!
pos,0.9963069,Wow. Just Wow and Thank You
pos,0.9337536,18:23 son of a b...... hahahahahhahahahah
pos,0.9827787,API's are great and you can do pretty much everything you can imagine i just love it
neg,0.53588474,If only my uni professors had your same enthusiasm and teaching skills…
neg,0.99969375,"Currently, I cannot use Console part and I am not sure if it is only me"
pos,0.9983242,this course is awesome. he knows exactly when to give a small break and refresh the mind. GOOD JOB sir
pos,0.99790096,"Great Video ..... everyone should be learning to Build APIS, the faster the cheaper ....the better"
pos,0.99465126,thanks from Costa Rica
pos,0.7876919,"it really really usefull crash course but i feel tiring to contiuan to watch it but it is so intersted for me 
so i desid to finish to from the first time i have try"
neg,0.9999838,"Dissapointed that twilio doesn't work for my country, even you could say about it that there are countries that could test API twoards twilio."
pos,0.9976949,Great sense of humor!!! Subbed
neg,0.9999945,"When was thie video made?  The Spotify website changed and the layout is different.  Spotify seems to only have the ""Get"" request in the search API.  Can someone point me to the site that has the ""Request"" version of the API?"
pos,0.9878209,great tutorial for beginners
neg,0.99980503,"Please keep a constant level of volume and pronunciation. You drop off in volume and intelligibility at the end of each sentence, which makes it difficult to understand. If I am the ""only one"" to have pointed it out, it means that I am one of the few who watched long enough, and I am one of the few who actually wanted to understand you ... and, I have higher standards."
neg,0.54784304,https://youtu.be/EBOq1xr0ieo
neg,0.9999839,"This guy is so annoying. He knows his stuff and I need the information, and it's well-organized -- however his personality is so weird that I have to constantly rewind because his ""theater"" is so distracting from the information flow.  It absorbs 80% of my brain power just to cancel out the noise of his cringe mannerisms. His ""performance"" is like he's talking to 6 year old children, and he obviously thinks he's cute and entertaining. Hint: you're insulting the intelligence of your audience and I'd think even children would recognize this as b.s. ... Free Code Camp: just know that a rock star is somebody who can focus on delivering the goods, not somebody who thinks he is a Disney princess. You have a lot of great teachers but not this guy; he needs an education about the real world and to unplug from Sesame Street.. Craig: Here's one of many good examples of how to teach purely and simply, just delivering the information without injecting personality quirks. It's by an actual woman, not a guy pretending to be a woman or trying to ingratiate himself with women. Learn from her please.
https://www.youtube.com/watch?v=t8pPdKYpowI"
neg,0.9617771,P!
pos,0.9866094,It is an amazing video. It contains valuable and useful information. It motivates me. Thank you for this nice video
neg,0.714908,"I have a problem,  I have Key 'To' but the output always says that Phone number is required, but I'd already put my phone number. please help me aSAP"
pos,0.98559606,Amazing teacher..
neg,0.9999788,Am I the only one who noticed that he had a Tile on the back of his remote? 🤣
neg,0.9999491,Anyone else having zero knowledge about IT and then got an understanding about what is API after seeing  this video ?
pos,0.94127184,"I choo choo choose to watch this course just   for the pun lines. JK!

I want to be like Craig Dennis when I Grow up lol 😂😂😂😂"
pos,0.9949532,"""Thank you for being inclusive. Inclusivity matters."" -Craig

Agreed! Really great and fun video. I'll be back for more."
pos,0.99854714,"This is just fantastic!!  APIs were so opaque to me.  Now I get it.  A lot clearer. And this is coming from someone who barely knows a line of code.  

Having said that, is there a crash course I can do that teaches me the bare basics of python needed to access APIs without having to learn the stuff that I won't use – if I'm just interested in accessing APIs?

Thanks again. :)"
pos,0.9983583,I completed the whole video and i absolutely loved it!!! thank you so much Craig for making it so much fun!!!!!!
neg,0.7816884,"I just took a position at work and just started using APIs, this was write on time.  ""B.I.G"" shout out for the Hip Hop reference."
pos,0.91490734,"Hey, thanks for the tip in 0:35:45"
pos,0.99730194,"Great tutorial, Big Poppa! 😂"
neg,0.8956985,Get the notes and code for this course here: https://github.com/craigsdennis/intro-to-apis-course/blob/master/course-notes.md
pos,0.98976034,Super amazing intro to very useful course🤍🤍
pos,0.99316084,I love the charisma while learning
pos,0.9826751,I love the late Douglas Adams reference
pos,0.8680177,"Hello
I wonder how to learn api 

My goals :-
Get data from any web page like facebook or amazon or any other web page 

So if you could help me how to learn and thank u in progress"
pos,0.99899036,WOW!! THIS INSTRUCTOR WAS DIFFERENT FROM OTHER INSTRUCTORS ON FCC !!!   GREAT WORK!!!
neg,0.9995277,"I adored the video until ,,inclusivity matters"". For evolutions sake, there is no such thing as non-binary. Biology beats ideology."
pos,0.9894208,Outstanding delivery and very informative. Thanks
pos,0.5200378,Subscribe for goodluck:)
pos,0.9982638,"I'm so glad that I found this video, the best explanation about API that I've ever seen"
pos,0.9994235,The best course I've watched in a while - thank you for putting so much hard work into it!
neg,0.9956678,"Love the low entry, but information density is so low it is hard to keep my attention to it."
pos,0.99869174,WoW what an amazing video! Thank you Craig!
pos,0.9992066,"Awesome explanation and practical demo! Though it would be nice to carry a demo with an artist that is a little more on a healthy side, that takes up a little less space on the screen..."
pos,0.9991646,This is the best course ever!!!
pos,0.9907205,"Dude, Sense of humor is 10/10. I literally smiled ;) Thanks for KTP- knowledge transfer protocol. :)"
pos,0.7464488,Thanks Craig. I learnt sooo much. U r God sent 🙏🏽🙏🏽🙏🏽
neg,0.9998839,"1:25:58 somebody please help with the virtual environnment in Windows, it does not accept the command."
neg,0.95593417,I laughed so hard at 18.56🤣🤣
neg,0.99999547,"I am confused with the Twlio segment. Wnen I past the code into the terminal, I don't get a code but I get ""[redacted]"" and when I press enter into the terminal, I don't get a text message..."
neg,0.9999902,"When I try to run the explore.js program. It doesn't return my most recently sent message. I just get this: 

The most recent message is ${messages[0].body}

I don't know what's going on.

*EDIT: Nevermind, syntax error was the problem I was using a  '   instead of  `  for the string."
neg,0.99856913,50:36 how do I do this in windows? I can't even properly paste the stuff i just copied and nothing is working
pos,0.9932121,"hi Craig, you and the information you gave are awesome.."
neg,0.9994448,"If you go woke you go broke, don't take my word for it you only have to look at what Netflix is doing and what Facebook is doing on the market, Facebook is making a free fall at the moment and Mark Zuckerberg is not on the list of richest people of the world anymore."
neg,0.99999917,"Yeah it's in the header where you can put some obscure code that the user doesn't see or has any idea of that it's there, you should know at least the basics of what's happening on the background of the API that you're using so you're able to recognize if the API is safe to use or that the API is giving unauthorized access to the server or the client.
Keep using API's the way you do and it's a matter of time that it goes horribly wrong, it's not a question of if it happens anymore because nowadays bad things happen to everyone who's doing things online.
You have been warned, what you do with this information is totally up to you.
One thing that I wouldn't teach or dare to say online is that you can use API's without knowing what happens in the background, that's bad advice so if you read this comment please don't listen to this guy, he may be able to use the API's but he has no idea what the API is capable of and what it can do without you even knowing or seeing anything that the API may be doing to your system or the server making it even more dangerous because if it sits somewhere on the server it can infect many computers, phones etc. and at the time that people finally begin to suspect that there's something wrong with their system it's already too late, who knows what happens if you don't have any knowledge of the inner workings of the API."
neg,0.9981054,"That's a very big security risk you're taking if you only use an API and you don't know how the API is working on the background, API's are the new thing that hackers are interested in because of the lack of security of the API's.
The first thing that I want to know of any API that I'm going to use is how it works in the background or at least how I can make use of the API in a safe way keeping hackers out."
neg,0.9992368,when you started explaining postman i don't recall an explanation of 'why?'  Certainly not every dev or company uses postman? what are the negatives to using postman?
pos,0.97488153,Really very nice and humbled by attending the class
pos,0.8844605,Thank you so much  👍
pos,0.9928888,Nice video
