content,emoji,position,emojis,matches,sentiment.flair,sentiment.map
"I know we just met, but I love you",:thumbsup:,0,"[':thumbsup:', ':rage:', ':angry:', ':pray:', ':confused:', ':neutral_face:', ':cry:', ':confounded:', ':disappointed:', ':persevere:']",True,pos,pos
I recently followed this video and now Twilio and postman needs you to add MessagingServiceSid in the send message block. So please check it and make sure you add the key and value otherwise it will not get sent.,:eyes:,0,"[':eyes:', ':skull:', ':flushed:', ':neutral_face:', ':confused:', ':joy:', ':sweat_smile:', ':smile:', ':see_no_evil:', ':expressionless:']",False,pos,neu
Bla bla bla...,:thumbsup:,4,"[':wink:', ':v:', ':smile:', ':blush:', ':thumbsup:', ':sunglasses:', ':eyes:', ':sparkles:', ':stuck_out_tongue_winking_eye:', ':relaxed:']",False,neg,pos
Thanks Craig. I learnt sooo much. U r God sent 🙏🏽🙏🏽🙏🏽,:thumbsup:,1,"[':rage:', ':thumbsup:', ':angry:', ':wink:', ':stuck_out_tongue_winking_eye:', ':smile:', ':triumph:', ':confused:', ':smiling_imp:', ':neutral_face:']",True,pos,pos
"I am confused with the Twlio segment. Wnen I past the code into the terminal, I don't get a code but I get ""[redacted]"" and when I press enter into the terminal, I don't get a text message...",:confused:,2,"[':rage:', ':angry:', ':confused:', ':thumbsup:', ':triumph:', ':neutral_face:', ':expressionless:', ':smile:', ':disappointed:', ':grimacing:']",True,neg,neg
"Hey, thanks for the tip in 0:35:45",:eyes:,3,"[':pray:', ':weary:', ':tired_face:', ':eyes:', ':sweat_smile:', ':sob:', ':grin:', ':grimacing:', ':information_desk_person:', ':confused:']",False,pos,neu
https://youtu.be/EBOq1xr0ieo,:thumbsup:,2,"[':rage:', ':angry:', ':thumbsup:', ':grimacing:', ':confused:', ':neutral_face:', ':pray:', ':wink:', ':expressionless:', ':confounded:']",False,neg,pos
thanks to the name above ☝️☝️👆👆 who help me with my credit card am really grateful 💯💯,:confused:,1,"[':neutral_face:', ':confused:', ':expressionless:', ':see_no_evil:', ':flushed:', ':eyes:', ':joy:', ':mask:', ':angry:', ':wink:']",False,pos,neg
Need to import humor too ;),:thumbsup:,5,"[':clap:', ':raised_hands:', ':100:', ':ok_hand:', ':joy:', ':thumbsup:', ':smiling_imp:', ':muscle:', ':eyes:', ':heart_eyes:']",False,neg,pos
"Not me yelling 'P' in my house..... love this guy, made my day of strugle with API lot easier :D",:confused:,3,"[':angry:', ':rage:', ':expressionless:', ':confused:', ':triumph:', ':neutral_face:', ':unamused:', ':eyes:', ':flushed:', ':sleepy:']",False,pos,neg
"Man, I was looking for a video like this for a long time.... finally found it 💯🔥💓",:confused:,0,"[':confused:', ':neutral_face:', ':grimacing:', ':rage:', ':gun:', ':eyes:', ':angry:', ':sweat:', ':expressionless:', ':persevere:']",False,pos,neg
🇬🇧Strongly recommending Mr.Edward Richardson for those who have had losses trading on their own,:eyes:,0,"[':eyes:', ':flushed:', ':muscle:', ':thumbsup:', ':grimacing:', ':speak_no_evil:', ':see_no_evil:', ':facepunch:', ':smirk:', ':mask:']",False,pos,neu
I seriously enjoy your teaching method and I am just 10 minutes into this lesson...Awesome,:thumbsup:,2,"[':rage:', ':angry:', ':thumbsup:', ':confused:', ':triumph:', ':pray:', ':neutral_face:', ':expressionless:', ':grimacing:', ':blush:']",True,pos,pos
"gracias, saludos de Peru",:thumbsup:,5,"[':no_good:', ':grimacing:', ':sweat_smile:', ':neutral_face:', ':v:', ':thumbsup:', ':confounded:', ':confused:', ':expressionless:', ':mask:']",True,pos,pos
"Here I am, employed as a developer, watching a video that purports to be for beginners, and it's a great video so far. One of the things I love about approaches like this is that, especially for developers like me who just picked up some crap over time and am doing stuff with it, there are lots of fundamentals that slip through those autodidactic cracks. For instance, I know what ""statelessness"" means generally, but then at around 23:30 Craig explains not only clearly but completely enough for the context--with no extraneous detail

Nice work.",:thumbsup:,0,"[':thumbsup:', ':100:', ':confused:', ':blue_heart:', ':clap:', ':cry:', ':raised_hands:', ':facepunch:', ':pensive:', ':pray:']",True,pos,pos
"This video is amazing, thanks",:confused:,0,"[':confused:', ':neutral_face:', ':rage:', ':expressionless:', ':angry:', ':eyes:', ':unamused:', ':triumph:', ':grimacing:', ':disappointed:']",False,pos,neg
"do you fancy creating a video about exploiting booking's API with R ?
:D",:thumbsup:,2,"[':rage:', ':angry:', ':thumbsup:', ':confused:', ':cry:', ':disappointed:', ':grimacing:', ':triumph:', ':neutral_face:', ':persevere:']",False,neg,pos
"Since YT got rid of the so helpful like-dislike bar, I started to leave my likes/dislikes for everybody visible directly in my comments , so here it is 👎.

 histrionic, too many facial expressions, too many gestures, too much intonation, the voice sometimes sounds downright nagging. Less would really be more. Have you ever watched that yourself? I wonder why someone thinks that with so much artificially exaggerated (aka exalted) behaviour he conveys knowledge better, that people would listen to him better and, above all, follow him better than if he looked and talked naturally and didn't gesticulate wildly and sometimes distort his mouth into the grotesque when speaking. You are far too exuberant, over-enthusiastic about what you yourself love to do. I got it, you love it. But more objectivity and naturalness in your appearance would be more beneficial to, well, to the object and not distract from it with an excessive amount of ... showmanship, not to use another term. I found it so outlandish, even cringy, that I couldn't even make it past the first minute. I couldn't watch or listen to it any longer than that. Imagine.",:thumbsup:,5,"[':smiling_imp:', ':wink:', ':sparkles:', ':stuck_out_tongue_winking_eye:', ':sunglasses:', ':thumbsup:', ':v:', ':eyes:', ':notes:', ':100:']",False,neg,pos
Absolute life saver! Thank you so much for making this video!,:confused:,1,"[':flushed:', ':confused:', ':eyes:', ':sweat_smile:', ':joy:', ':neutral_face:', ':grimacing:', ':smile:', ':sweat:', ':cry:']",False,pos,neg
"You are a genius, you helped me do my work...!",:thumbsup:,0,"[':thumbsup:', ':eyes:', ':sparkles:', ':sunglasses:', ':smile:', ':flushed:', ':heart_eyes:', ':grimacing:', ':sweat_smile:', ':grin:']",True,pos,pos
"This is the first tutorial that I’m watching which doesn’t make me bored 😂 His approach is brilliant, keeps it entertaining whilst learning!",:thumbsup:,2,"[':rage:', ':angry:', ':thumbsup:', ':triumph:', ':expressionless:', ':cry:', ':persevere:', ':confounded:', ':neutral_face:', ':confused:']",True,pos,pos
"⤴️⤴️⤴️ Thanks to the name above this comment for his trustworthy dealings.. Your spamming tutorial goes well as you say it, say less you deserve more accolades. Thanks bro",:confused:,2,"[':rage:', ':angry:', ':confused:', ':thumbsup:', ':stuck_out_tongue_winking_eye:', ':wink:', ':smile:', ':grimacing:', ':cry:', ':neutral_face:']",False,pos,neg
at 37:00 cross walk captcha solving guide,:thumbsup:,0,"[':thumbsup:', ':smile:', ':wink:', ':blush:', ':clap:', ':stuck_out_tongue_winking_eye:', ':grimacing:', ':grin:', ':relaxed:', ':confused:']",True,pos,pos
1. Request,:confused:,2,"[':flushed:', ':neutral_face:', ':confused:', ':joy:', ':eyes:', ':expressionless:', ':see_no_evil:', ':sweat_smile:', ':grimacing:', ':speak_no_evil:']",False,pos,neg
"This was super helpful! I'm using an API for my first coding project for my lab...not my area of expertise. We're importing data from a raspberry pi into a google drive so we can track drought, and this seemed like the easiest way to do that!",:confused:,1,"[':neutral_face:', ':confused:', ':eyes:', ':sweat_smile:', ':expressionless:', ':see_no_evil:', ':flushed:', ':grimacing:', ':mask:', ':joy:']",False,pos,neg
Is that a GUARIA MORADA? I'm from Costa Rica and is our National Flower!!!!   ♥♥♥,:thumbsup:,0,"[':thumbsup:', ':rage:', ':blush:', ':pray:', ':angry:', ':confused:', ':relaxed:', ':disappointed:', ':smile:', ':cry:']",True,pos,pos
"I am trying to follow along and at 1:16:12, I am not able to use the terminal in code to get the twilio. I am doing npm install twilio. and I get a big error telling me npm is not recognized.",:thumbsup:,0,"[':thumbsup:', ':ok_hand:', ':clap:', ':raised_hands:', ':heart_eyes:', ':joy:', ':sob:', ':eyes:', ':skull:', ':sunglasses:']",False,neg,pos
"How can we add a number counter to a website which is not ours , example a news website where covid cases are 1200 , I want it change to 1201, 1202 , 1203 changing like this",:confused:,2,"[':expressionless:', ':neutral_face:', ':confused:', ':joy:', ':sweat_smile:', ':weary:', ':eyes:', ':sob:', ':unamused:', ':skull:']",True,neg,neg
"Why am I getting the error ""Unexpected token 'data-urlencode' in expression or statement."" whenever I use curl in powershell? I might not be properly installing or using curl, but this is usually the first real error. (After a missing expression after unitary operator since it isn't recognizing the operator)",:eyes:,0,"[':eyes:', ':weary:', ':tired_face:', ':flushed:', ':confused:', ':neutral_face:', ':sweat:', ':persevere:', ':sweat_smile:', ':sob:']",False,neg,neu
"Craig is the man. He was my favorite teacher on TeamTreehouse. Not sure if he got canned when everyone got laid off, but he definitely deserves better than that company.",:eyes:,0,"[':eyes:', ':flushed:', ':confused:', ':skull:', ':neutral_face:', ':sweat_smile:', ':joy:', ':persevere:', ':weary:', ':tired_face:']",False,pos,neu
