,sentiment,score,text,emojis
0,neg,0.9981054,"That's a very big security risk you're taking if you only use an API and you don't know how the API is working on the background, API's are the new thing that hackers are interested in because of the lack of security of the API's.
The first thing that I want to know of any API that I'm going to use is how it works in the background or at least how I can make use of the API in a safe way keeping hackers out.",":sweat_smile:,:grimacing:,:confused:,:neutral_face:,:flushed:,:sweat:,:persevere:,:confounded:,:see_no_evil:,:disappointed:"
1,neg,0.9992368,when you started explaining postman i don't recall an explanation of 'why?'  Certainly not every dev or company uses postman? what are the negatives to using postman?,":thumbsup:,:clap:,:ok_hand:,:blush:,:raised_hands:,:facepunch:,:muscle:,:relaxed:,:smile:,:relieved:"
2,pos,0.97488153,Really very nice and humbled by attending the class,":thumbsup:,:clap:,:facepunch:,:ok_hand:,:wink:,:muscle:,:smile:,:100:,:sunglasses:,:blush:"
3,pos,0.82649016,Thank you so much  ,":relaxed:,:kissing_heart:,:thumbsup:,:heartbeat:,:yellow_heart:,:smile:,:blush:,:v:,:raised_hands:,:heart:"
4,pos,0.9928888,Nice video,":sweat:,:sweat_smile:,:persevere:,:disappointed:,:sleepy:,:cry:,:confused:,:confounded:,:grimacing:,:pensive:"
5,neg,0.9967385,Lizzo? Non-binary? This dude is a clown.,":wink:,:thumbsup:,:smile:,:blush:,:relaxed:,:stuck_out_tongue_winking_eye:,:grin:,:kissing_heart:,:yellow_heart:,:heart:"
6,pos,0.99965024,Phenomenal video!,":muscle:,:thumbsup:,:clap:,:blush:,:heart:,:raised_hands:,:relaxed:,:blue_heart:,:purple_heart:,:facepunch:"
7,pos,0.9963069,Wow. Just Wow and Thank You,":confused:,:persevere:,:sweat:,:neutral_face:,:disappointed:,:expressionless:,:unamused:,:confounded:,:pensive:,:sweat_smile:"
8,pos,0.9337536,18:23 son of a b...... hahahahahhahahahah,":clap:,:smile:,:thumbsup:,:blush:,:raised_hands:,:heart:,:blue_heart:,:relaxed:,:yellow_heart:,:pray:"
9,pos,0.9827787,API's are great and you can do pretty much everything you can imagine i just love it,":thumbsup:,:smile:,:wink:,:blush:,:clap:,:stuck_out_tongue_winking_eye:,:grimacing:,:grin:,:relaxed:,:confused:"
10,pos,0.8680177,"Hello
I wonder how to learn api 

My goals :-
Get data from any web page like facebook or amazon or any other web page 

So if you could help me how to learn and thank u in progress",":heartbeat:,:yellow_heart:,:thumbsup:,:heart:,:smile:,:v:,:relaxed:,:purple_heart:,:stuck_out_tongue_winking_eye:,:sparkles:"
11,pos,0.99899036,WOW!! THIS INSTRUCTOR WAS DIFFERENT FROM OTHER INSTRUCTORS ON FCC !!!   GREAT WORK!!!,":pray:,:thumbsup:,:raised_hands:,:clap:,:blush:,:relaxed:,:smile:,:facepunch:,:wink:,:ok_hand:"
12,neg,0.9995277,"I adored the video until ,,inclusivity matters"". For evolutions sake, there is no such thing as non-binary. Biology beats ideology.",":pray:,:sparkles:,:broken_heart:,:persevere:,:pensive:,:disappointed:,:confounded:,:cry:,:sweat:,:confused:"
13,pos,0.9894208,Outstanding delivery and very informative. Thanks,":confused:,:neutral_face:,:persevere:,:confounded:,:disappointed:,:sweat:,:grimacing:,:sweat_smile:,:expressionless:,:cry:"
14,pos,0.9982638,"I'm so glad that I found this video, the best explanation about API that I've ever seen",":joy:,:expressionless:,:rage:,:skull:,:angry:,:flushed:,:triumph:,:sob:,:neutral_face:,:unamused:"
15,pos,0.99957365,"Wow i am amazed by such an incredible video, thanks for putting this together  ",":clap:,:heartbeat:,:thumbsup:,:heart_eyes:,:raised_hands:,:yellow_heart:,:smile:,:ok_hand:,:relaxed:,:heart:"
